AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1178.0,1.026
1235.8,0.293
1263.4,0.013
1251.8,0.025
1248.0,0.036
1250.4,0.021
1312.2,0.754
1267.4,0.589
1265.0,0.61
1250.6,0.705
1208.4,0.005
1317.2,1.813
1501.4,7.391
1712.0,10.507
1718.8,3.531
1678.2,4.845
1642.4,4.112
1576.0,0.458
1712.6,4.69
1482.4,9.965
1648.8,7.764
1578.2,7.755
1525.2,4.357
1590.2,0.8
1672.4,2.251
1606.2,1.625
1649.4,1.447
1594.8,2.214
1541.8,0.467
1571.4,0.48
1636.0,1.852
1560.0,1.719
1462.8,4.539
1481.4,3.166
1429.0,0.932
1429.8,0.905
1526.0,0.349
1609.2,1.296
1548.0,1.162
1600.4,0.746
1558.2,1.029
1519.0,0.201
1583.4,0.448
1734.4,5.142
1617.0,4.267
1496.0,9.582
1489.8,7.484
1437.6,2.05
1472.0,2.613
1582.4,0.945
1485.4,2.564
1482.6,1.81
1415.0,1.782
1432.2,1.09
1439.0,0.426
1553.0,2.214
1450.4,2.864
1550.2,2.825
1570.8,2.388
1687.2,6.34
1642.8,2.733
1502.8,7.148
1633.6,6.074
1571.4,3.578
1696.6,6.184
1579.0,6.639
1702.4,5.027
1659.0,4.696
1775.6,8.807
1879.0,1.99
1783.2,3.326
1914.6,2.164
1665.0,6.197
1550.2,5.347
1658.4,5.465
1599.0,3.078
1783.6,5.649
1689.4,4.423
1760.8,3.21
1694.4,3.814
1609.2,1.152
1800.0,3.379
1697.2,2.434
1758.8,2.027
1659.4,4.666
1599.8,1.215
1575.2,1.21
1659.4,3.195
1512.4,4.717
1630.4,4.02
1576.2,4.092
1457.6,2.233
1526.2,1.185
1696.4,8.141
1916.0,15.714
1761.0,12.556
1738.6,13.837
1637.4,11.685
1692.6,8.074
1785.6,7.221
1957.2,5.94
1768.4,12.53
1633.4,12.48
1740.2,10.932
1615.4,5.452
1753.8,4.526
1683.0,4.477
1773.8,3.306
1813.6,3.55
1780.2,3.134
1716.0,4.304
1625.2,4.006
1722.4,4.623
1725.8,4.587
1608.8,6.101
1637.4,5.093
1599.0,2.79
1750.4,10.113
2020.6,15.76
1807.2,16.291
1840.2,14.225
1845.2,11.52
1726.2,3.223
1479.2,14.62
1698.0,11.295
1508.6,10.101
1506.6,7.938
1748.4,4.337
1581.6,3.543
1791.0,4.062
1663.6,5.309
1872.2,11.347
1619.0,16.502
1697.0,11.427
1632.8,11.944
1695.6,9.529
1597.0,6.503
1686.0,5.518
1673.6,4.597
1759.8,6.326
1505.0,15.293
1690.4,11.981
1609.0,11.254
1715.8,14.351
1842.8,2.712
1678.6,5.579
1672.2,5.753
1826.2,9.147
1821.2,8.154
1668.8,11.517
1689.8,10.353
1758.6,8.134
1730.8,6.954
1673.6,5.269
1698.2,4.42
1827.0,6.693
1779.6,5.075
1710.8,5.481
1876.2,3.646
1829.4,2.465
1650.8,4.994
1690.4,3.84
1792.8,5.575
1751.2,4.308
1690.2,4.421
1896.0,4.503
1787.8,3.206
1683.2,4.293
1693.8,3.946
1781.8,4.471
1707.4,2.977
1748.0,2.331
1861.6,1.489
1758.0,0.694
1636.8,4.037
1702.4,2.756
1784.2,5.458
1758.0,4.075
1757.2,2.499
1714.2,3.369
1748.8,1.907
1750.8,1.889
1737.8,1.372
1820.6,0.419
1703.0,1.544
1839.2,3.664
1818.2,2.344
1809.8,2.335
1790.0,2.302
1802.8,0.765
1699.4,1.414
1787.0,2.065
1807.8,1.304
1704.6,1.968
1872.0,2.385
1614.6,7.526
1622.0,4.884
1579.4,5.399
1478.8,0.78
1701.0,4.748
1726.8,3.872
1878.0,4.165
2105.2,4.019
1680.8,25.75
1538.2,29.242
1617.2,22.078
1384.8,6.603
1574.6,6.641
1715.6,1.459
1510.0,5.15
1656.2,3.84
1663.2,3.969
1767.6,7.934
1563.6,13.005
1671.0,8.507
1648.8,8.262
1752.8,12.969
1786.2,2.767
1746.6,3.606
1830.0,2.915
1701.2,0.688
1646.2,1.257
1790.2,2.454
1492.8,9.263
1583.2,6.373
1567.6,6.308
1629.0,7.585
1516.4,6.193
1453.8,6.217
1501.8,5.5
1387.0,1.157
1442.8,0.744
1647.8,4.154
1467.2,5.305
1391.6,7.667
1429.4,6.319
1312.2,0.81
1405.4,2.036
1625.0,5.478
1768.2,7.118
1974.4,5.919
2119.6,1.865
1881.6,11.593
1999.8,7.545
1934.0,6.314
1546.0,15.385
1630.6,11.118
1794.2,17.135
1388.6,18.757
1716.6,15.454
1573.4,17.033
1424.8,7.582
1577.4,3.921
1658.4,6.969
1717.4,3.796
1627.8,5.385
1580.4,6.452
1593.6,3.258
1614.8,3.901
1592.2,2.234
1567.2,2.747
1432.6,5.013
1305.4,1.919
1226.4,0.731
1190.2,0.02
1171.8,0.027
1166.4,0.015
