AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1150.0,1.414
1182.4,0.014
1204.4,0.04
1195.0,0.031
1264.4,0.688
1386.4,2.831
2291.4,127.548
3039.0,169.508
2256.8,208.423
3551.6,187.979
3788.2,214.294
3961.2,241.212
3304.4,283.901
4159.4,213.431
3957.2,191.531
3782.8,169.762
4526.2,7.736
3934.6,28.187
3797.4,24.08
3826.8,19.33
3923.4,24.031
4133.8,15.488
4557.6,17.162
4583.4,4.488
3122.6,350.683
3961.6,245.698
4108.6,274.699
4029.4,258.393
3354.2,351.624
4319.0,269.559
4106.8,235.869
2624.8,387.375
4181.6,256.184
2532.4,353.511
3126.8,306.229
3793.2,200.667
3801.2,198.615
4380.4,2.012
4142.4,13.606
4035.0,13.812
3931.2,3.831
3749.2,1.168
4021.6,8.926
4198.0,11.488
2764.2,308.006
3596.0,218.913
3855.0,265.224
3947.8,280.764
4691.6,7.034
4538.2,16.256
4149.6,33.694
4010.4,13.582
3690.2,5.907
3938.8,15.771
4244.6,23.868
4183.6,16.726
4284.2,6.281
4192.4,7.482
4315.4,8.729
2831.4,306.587
3718.0,232.729
3826.2,243.519
3527.4,209.199
4273.8,7.707
4111.8,6.163
4017.4,0.843
2726.0,266.205
3454.8,187.115
3382.6,177.449
3700.0,230.989
3102.0,233.183
3916.0,187.143
2451.2,368.916
3055.2,292.992
3615.2,217.105
3550.0,202.396
4175.6,0.926
4084.0,2.055
2873.6,230.279
3562.4,164.618
3522.2,158.48
3499.8,155.879
3968.0,7.654
4002.4,3.074
3908.0,2.112
3955.2,2.601
4033.0,0.584
4270.4,11.493
4257.8,5.227
4128.4,10.086
4009.4,16.143
4079.2,8.285
3944.4,5.149
4401.8,31.617
2901.8,368.28
3427.8,223.295
3420.4,222.332
2725.4,138.624
3626.4,21.425
4056.0,67.226
4073.2,57.067
4379.8,10.425
4541.6,3.941
2863.8,365.959
3777.4,267.496
3631.8,246.538
3519.4,231.131
4616.8,17.341
4564.8,14.027
4858.4,18.168
3333.4,421.108
3920.0,248.195
4132.2,281.747
4005.4,257.98
5261.4,39.163
5074.2,22.367
5029.6,22.512
3345.4,517.062
3598.4,236.685
3592.4,229.548
3190.6,173.819
3686.2,14.558
3137.6,62.812
3422.6,40.911
3377.6,36.121
3452.4,37.514
3868.6,2.662
3889.2,3.263
4105.0,7.265
4106.0,2.11
4160.6,1.635
3863.8,18.032
3741.4,9.257
3331.4,27.003
2809.4,34.417
2138.6,93.652
1699.0,44.009
1346.2,16.993
1124.8,0.3
1125.2,0.297
1069.0,0.175
1082.6,0.103
1097.6,0.182
1102.8,0.181
1099.2,0.092
1102.4,0.067
1088.2,0.044
1081.6,0.01
1075.2,0.019
1054.8,0.067
1046.0,0.054
1033.2,0.017
1025.8,0.0
1026.8,0.0
1039.4,0.028
