AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1300.0,0.027
1333.4,0.233
1343.6,0.138
1357.6,0.091
1364.2,0.024
1349.4,0.019
1343.6,0.016
1345.6,0.009
1479.8,2.896
1395.4,2.184
1392.2,2.225
1411.4,2.028
1332.6,0.078
1319.6,0.126
1317.4,0.132
1332.6,0.145
1320.4,0.098
1394.2,0.68
1440.2,0.576
1456.2,0.439
1370.4,2.225
1298.0,2.554
1396.8,3.479
1436.2,4.659
1443.4,2.69
1535.0,0.457
1449.0,1.275
1426.0,0.346
1538.0,2.205
1316.0,5.929
1431.4,4.402
1398.8,4.373
1310.0,1.964
1413.8,0.366
1500.2,2.373
1426.8,1.826
1527.4,1.399
1422.8,3.128
1457.8,1.784
1524.8,1.901
1528.2,1.941
1463.6,2.57
1444.4,2.005
1493.4,2.177
1463.2,1.606
1454.8,1.012
1340.2,4.865
1369.6,2.272
1340.0,1.631
1309.6,1.441
1386.6,0.132
1486.4,2.055
1493.4,1.485
1471.0,1.293
1458.8,1.521
1430.2,0.453
1401.8,0.093
1454.2,0.456
1476.8,0.174
1394.0,1.323
1310.2,3.014
1330.4,1.565
1390.4,3.281
1409.2,2.375
1383.0,1.88
1275.2,5.019
1312.6,2.487
1330.6,2.953
1351.2,2.52
1554.6,2.221
1524.2,1.197
1523.4,1.202
1563.4,0.797
1365.8,3.209
1397.2,1.874
1443.2,2.545
1442.6,2.531
1420.8,1.363
1298.8,5.264
1364.4,3.276
1351.2,2.843
1436.0,4.188
1522.6,0.232
1480.6,0.626
1555.4,0.734
1423.2,1.892
1454.2,1.285
1521.4,1.704
1296.6,5.029
1472.2,4.592
1362.6,4.632
1434.4,5.388
1502.0,1.553
1342.4,3.551
1407.4,2.389
1279.2,1.928
1410.8,5.103
1425.2,2.502
1346.6,3.559
1429.2,2.104
1406.6,0.978
1241.2,3.124
1384.6,2.876
1440.4,3.977
1431.0,3.699
1360.0,4.471
1262.6,5.579
1292.8,3.23
1323.6,4.236
1243.4,3.475
1359.8,1.805
1438.2,3.149
1461.0,3.742
1368.0,4.345
1477.2,3.071
1431.0,2.637
1277.0,2.935
1434.4,2.259
1440.2,2.374
1332.6,2.888
1498.0,1.961
1501.0,1.959
1289.6,6.267
1470.0,4.869
1520.6,6.429
1466.2,5.35
1675.6,1.33
1417.2,10.454
1505.0,6.322
1488.8,6.134
1366.2,3.635
1518.2,0.838
1483.4,0.563
1325.8,3.669
1367.6,2.548
1398.4,2.628
1401.2,2.683
1452.0,0.503
1466.4,0.223
1514.8,0.545
1438.2,0.712
1384.8,1.454
1263.6,4.367
1271.4,1.405
1326.0,2.731
1261.0,2.189
1377.0,0.866
1408.8,0.968
1427.2,1.249
1433.0,0.268
1557.6,1.798
1363.2,5.718
1449.2,4.148
1462.4,3.985
1554.4,7.276
1614.4,1.414
1536.4,2.938
1608.8,2.073
1511.6,0.834
1458.6,0.698
1559.6,0.918
1389.4,2.871
1362.6,2.488
1430.2,2.726
1472.2,4.069
1556.8,2.36
1435.2,5.352
1557.6,3.956
1545.2,3.697
1462.6,3.075
1590.0,0.587
1395.4,4.684
1351.2,2.647
1406.0,2.916
1424.2,3.362
1387.0,1.853
1529.8,1.828
1339.2,5.717
1332.2,3.084
1433.4,4.026
1469.2,5.324
1619.4,2.69
1477.6,5.909
1540.8,3.859
1522.0,3.419
1561.0,4.339
1410.0,7.104
1504.8,4.767
1586.4,6.617
1448.2,4.669
1596.8,1.279
1414.4,6.46
1348.2,2.748
1403.6,3.035
1436.6,4.015
1439.4,1.428
1470.2,0.82
1598.6,2.748
1365.8,5.703
1471.8,4.395
1552.0,5.204
1541.2,4.753
1440.4,5.693
1406.6,5.193
1430.2,3.829
1494.6,6.445
1649.8,5.332
1490.4,8.673
1606.2,5.819
1588.8,5.345
1531.6,3.573
1638.2,0.028
1469.6,4.278
1477.2,2.317
1536.2,3.251
1402.4,2.494
1527.4,1.487
1512.4,1.37
1503.4,0.87
1466.4,0.987
1554.0,1.636
1567.4,1.327
1387.4,5.373
1534.0,3.983
1554.0,4.449
1484.6,3.641
1680.8,1.458
1474.6,6.37
1610.6,5.786
1520.6,5.644
1283.8,8.426
1438.4,6.123
1437.6,5.215
1295.8,5.289
1315.4,4.311
1295.2,3.153
1355.4,4.19
1433.4,3.699
1570.4,2.589
1411.6,7.198
1490.8,4.426
1399.6,4.378
1494.0,6.581
1341.8,7.845
1431.0,5.612
1490.0,5.718
1339.0,3.594
1529.2,1.706
1512.8,1.439
1526.0,1.558
1501.8,1.178
1563.6,1.117
1644.4,2.494
1406.0,8.244
1553.6,5.72
1550.8,5.646
1467.2,3.679
1567.4,0.188
1377.8,5.149
1449.4,3.01
1405.0,2.627
1347.4,2.048
1253.0,5.223
1346.8,3.634
1351.2,3.659
1257.4,3.85
1362.0,1.372
1408.6,1.965
1406.2,1.875
1364.0,1.703
1440.4,1.2
1448.8,1.279
1350.0,1.525
1442.6,0.844
1481.6,1.321
1276.2,4.879
1369.4,3.291
1390.6,3.523
1233.4,2.86
1385.2,1.698
1415.2,1.993
1335.6,1.75
1535.8,2.586
1546.8,2.1
1327.2,8.747
1491.8,6.16
1517.8,6.785
1431.8,5.392
1618.6,1.037
1671.4,1.369
1392.0,9.744
1452.8,6.728
1505.4,7.158
1480.6,6.132
1668.2,2.38
1443.4,11.2
1473.4,6.791
1480.0,6.392
1472.2,5.44
1498.0,0.991
1539.6,0.633
1359.0,5.375
1348.6,2.055
1392.2,2.616
1418.2,3.324
1552.6,1.428
1381.6,6.215
1469.2,4.062
1496.8,4.532
1349.4,3.52
1281.8,6.169
1352.4,4.098
1342.4,3.462
1256.8,3.321
1358.4,1.218
1431.4,2.388
1448.6,2.734
1380.8,2.772
1261.0,7.279
1327.2,4.538
1376.2,6.481
1242.6,6.227
1382.0,3.082
1403.0,3.222
1433.8,3.956
1547.6,1.166
1386.4,5.664
1295.6,7.511
1410.2,7.273
1385.4,6.263
1441.2,4.034
1606.2,0.58
1394.0,5.341
1318.0,4.93
1295.4,3.983
1310.8,2.799
1388.0,2.268
1365.6,1.355
1468.0,0.927
1422.8,0.797
1338.2,1.207
1335.0,1.248
1395.4,1.696
1279.0,1.783
1243.8,2.4
1343.8,2.62
1296.0,1.477
1250.6,1.624
1312.4,0.848
1421.8,3.65
1537.8,6.858
1539.8,2.815
1706.6,1.646
1425.8,12.22
1520.0,7.25
1566.2,7.713
1524.2,6.328
1435.4,7.166
1523.0,4.403
1550.6,5.076
1485.4,4.084
1579.2,0.478
1417.6,4.697
1470.6,2.382
1564.4,4.94
1522.0,3.887
1743.4,2.503
1691.8,1.754
1742.2,1.874
1751.0,1.078
1644.8,1.107
1609.0,1.736
1526.6,0.94
1501.4,0.105
1460.2,0.124
1343.0,2.221
1272.4,2.697
1348.6,2.834
1249.0,1.85
1235.0,2.007
