AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1429.2,1.645
1367.4,0.12
1370.0,0.109
1352.0,0.007
1342.0,0.006
1335.6,0.012
1331.6,0.007
1346.0,0.049
1348.4,0.038
1374.2,0.09
1537.2,3.762
1455.0,2.57
1580.4,2.633
1659.0,2.214
1665.8,2.34
1503.6,7.738
1376.4,9.645
1713.8,25.664
1925.6,42.889
1959.8,23.465
2192.8,4.191
1921.8,15.404
1984.0,6.463
1744.6,10.72
1759.6,6.765
1681.4,8.177
1773.0,6.987
1609.6,7.94
1806.6,10.633
1726.6,8.394
1864.4,11.351
1977.6,4.268
1755.0,8.082
2017.8,6.984
1665.4,14.378
1486.2,13.632
1842.0,22.876
1475.8,15.093
1793.2,19.139
1626.0,20.213
1373.8,13.555
1477.2,11.409
1256.4,1.343
1232.6,1.532
1258.8,1.136
1261.8,0.515
1299.6,0.794
1384.8,1.099
1665.6,10.233
1763.6,7.364
2436.0,58.629
2984.6,67.517
3011.6,37.114
2682.4,78.327
2917.4,48.846
2515.8,26.372
2586.4,26.766
2316.6,39.55
2365.2,17.867
1998.8,32.15
1731.6,13.238
2304.6,43.426
2177.4,32.166
2058.8,31.445
2472.6,19.521
2347.2,11.905
1990.4,23.002
1968.6,24.576
2227.8,30.043
2111.6,22.156
1916.4,28.142
1934.6,26.627
2055.6,19.984
1623.6,18.25
1874.4,15.805
1747.6,18.285
1584.0,5.464
1948.8,14.135
1867.8,10.221
1802.4,10.12
1791.8,10.651
1893.4,8.573
1632.2,8.183
1853.4,9.466
1744.4,9.882
1875.8,10.888
1976.4,5.452
1748.0,9.594
1746.8,9.642
1931.2,13.584
1584.8,13.553
1882.2,15.631
1727.6,16.902
1928.0,21.099
1916.0,10.213
1788.2,9.945
2037.0,6.776
1647.6,10.932
1722.6,7.721
1659.2,8.523
1521.8,2.001
1855.0,10.405
1914.4,10.093
1831.2,8.801
2118.4,6.198
2089.8,5.457
1772.2,15.718
1780.0,14.626
1932.2,16.037
1511.8,16.58
1826.0,16.518
1700.8,16.711
1570.0,7.989
1936.0,12.307
1542.4,16.081
1871.6,17.984
1678.6,20.441
1565.4,10.573
1993.4,20.142
1957.2,17.326
1816.4,17.968
2204.4,15.492
2125.6,12.5
1824.0,19.645
1838.8,18.586
1940.4,13.654
1811.0,8.265
1754.0,8.049
2023.4,6.695
1886.6,4.166
1663.8,11.038
2053.4,16.681
1751.2,14.222
2049.0,24.441
2334.0,15.695
1894.4,28.056
1950.6,23.78
2163.0,27.635
1995.8,17.368
1858.8,19.859
1878.6,18.366
1865.4,8.167
1886.6,9.13
1809.6,6.12
2092.6,6.574
2041.4,5.366
1792.4,11.097
1813.8,9.971
1873.0,7.244
1730.6,4.333
1554.4,12.801
1701.0,9.157
1527.2,4.45
1506.2,3.642
1588.6,0.748
1768.4,7.84
1479.2,14.614
1725.2,13.525
1656.0,12.547
1786.4,17.17
1926.4,3.71
1750.6,7.341
1746.0,7.492
1603.0,3.482
1777.8,10.376
1826.8,7.063
1749.0,7.301
1797.2,5.457
1939.6,8.916
1798.2,6.047
2052.6,8.248
1871.2,11.95
1749.2,8.105
2008.8,14.0
1969.6,11.869
1992.8,6.643
1919.6,9.814
2060.0,7.885
1625.4,19.235
1736.6,13.617
1687.0,13.743
1588.8,5.053
1882.8,5.897
1906.2,5.335
1771.2,8.304
1794.6,7.041
1916.8,9.183
1487.6,18.27
1709.2,14.067
1614.6,14.686
1526.2,6.581
1779.6,3.67
1682.6,2.528
1808.2,1.929
1700.4,4.052
1613.8,2.232
1880.8,11.274
1809.4,7.983
1705.6,10.423
1691.0,11.057
1821.4,10.992
1759.6,8.177
1755.6,6.274
1773.0,5.146
1655.2,1.296
1848.4,8.96
1833.0,5.508
1999.4,5.563
1857.0,9.07
1719.2,6.825
2006.0,16.965
2002.4,16.045
1822.8,18.838
1866.0,16.13
2090.2,23.065
2043.0,19.428
1916.6,18.684
2322.0,15.671
2283.2,13.905
1888.8,28.267
1983.0,21.728
2135.0,22.823
2059.2,18.01
1889.4,20.715
2136.8,13.723
2089.8,10.769
2192.6,16.278
2399.8,2.136
2061.8,21.543
2351.6,17.968
2520.0,29.573
1993.8,44.601
2391.2,26.645
2296.8,25.114
1762.6,25.941
2035.6,15.61
1749.2,13.436
1571.6,6.415
2007.8,19.052
2204.8,33.305
1863.2,39.58
1875.2,38.142
2105.2,38.155
1467.2,30.031
2003.2,40.962
1829.2,34.821
2041.4,40.091
2191.4,13.513
1929.6,14.603
2232.2,8.766
2076.8,4.866
1860.0,9.675
1824.6,11.324
1992.2,13.318
1945.2,10.538
1802.4,13.684
1847.2,11.41
1952.4,10.804
1881.0,7.959
1809.8,7.895
1769.0,9.812
2039.0,21.005
2010.4,16.715
1892.2,17.513
2162.4,9.742
2054.6,5.445
1820.0,8.368
2046.0,5.54
1914.0,4.356
1762.6,4.816
1744.8,5.449
1899.2,8.711
1607.6,11.344
1793.2,10.365
1695.2,11.42
1573.4,3.952
1952.4,14.833
1671.0,13.005
2015.4,17.28
1741.8,26.152
1871.2,18.244
1799.0,15.188
1535.0,11.04
1698.2,7.075
1709.0,5.557
1773.4,6.095
2096.0,8.723
1912.0,9.282
2179.2,11.821
2129.8,9.486
1839.6,13.375
2030.0,8.523
1912.8,3.858
1832.4,3.04
1794.4,3.673
1687.0,2.815
1582.0,1.467
1739.4,6.27
1791.8,5.261
1891.0,4.185
1797.8,5.781
1657.4,6.483
1841.4,9.82
1772.2,7.185
1687.4,7.983
1682.2,8.187
1843.4,10.757
1541.8,11.329
1803.6,13.247
2068.2,16.957
2042.4,15.421
2404.6,5.965
1926.8,40.9
2443.8,50.725
1812.6,76.643
1546.4,58.717
1527.6,60.108
1157.6,0.209
1211.2,0.236
1242.4,0.505
