AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1272.6,0.618
1312.6,0.068
1324.8,0.004
1333.2,0.021
1326.0,0.016
1312.2,0.062
1370.0,0.449
1310.2,0.539
1322.2,0.451
1326.4,0.426
1294.0,0.052
1297.2,0.018
1288.8,0.017
1281.0,0.008
1410.6,2.651
1680.6,14.422
3180.6,350.319
2482.8,223.805
3905.4,280.04
2933.6,379.249
3849.4,398.932
3174.8,337.813
3880.6,360.929
3032.2,405.082
4094.4,448.517
3180.0,425.168
3838.4,402.628
3019.0,455.517
3653.4,341.959
2941.4,330.658
3749.0,379.805
3034.0,339.806
4147.8,452.728
3269.6,418.478
4121.6,434.947
3141.2,509.202
3912.4,423.624
3116.0,417.937
3582.6,335.37
2793.4,389.327
3539.6,337.365
2808.8,317.764
3332.0,291.209
2664.6,314.565
3842.4,461.515
3034.4,363.958
3809.0,395.971
3006.2,451.136
3655.6,337.694
3186.8,271.388
4195.4,449.042
3196.4,445.301
4166.8,416.466
3227.0,482.651
3781.2,391.018
2936.2,421.583
3582.6,336.045
2900.8,334.006
3416.2,290.646
2637.0,329.395
3500.4,337.661
2820.4,302.006
3410.2,302.702
2697.6,327.668
3420.6,293.359
2717.2,284.742
3437.2,315.826
2779.0,295.633
3327.4,248.031
2658.4,272.969
3170.8,230.198
2497.0,247.949
3514.4,358.457
2725.8,316.34
3316.8,295.17
2604.6,349.509
3309.2,311.054
2804.2,238.791
3439.8,278.34
4118.8,126.908
2687.2,256.951
3797.2,177.097
2498.8,245.772
3340.8,311.159
2658.6,268.899
3607.4,351.646
2935.6,314.013
3053.0,204.968
2474.8,274.207
2911.2,183.927
2196.4,194.77
2876.0,220.803
2323.6,214.892
3112.0,270.059
2345.6,268.96
3225.6,316.092
2635.0,279.018
3178.4,265.095
2557.6,266.008
3069.4,214.125
2544.2,206.817
3055.6,203.65
2338.6,238.429
3148.6,259.953
2549.0,234.227
3245.4,280.562
2491.6,300.15
3008.8,227.178
2306.0,273.386
2917.0,261.763
2331.0,228.662
3323.0,342.74
2887.0,232.99
3582.0,283.727
3681.6,134.005
2513.6,194.934
3994.8,246.027
2322.0,297.993
2791.8,253.324
2960.6,198.47
1863.0,85.887
2888.6,80.519
2055.0,90.06
2800.8,150.817
3448.2,112.717
2411.8,175.591
3512.0,121.406
2229.0,246.126
3448.6,414.619
2549.2,363.327
3099.8,332.885
4166.2,248.605
2614.6,257.555
3903.6,165.88
3906.0,163.473
2605.4,213.649
3908.2,157.811
2364.2,303.389
3105.2,281.137
2535.4,268.608
2971.0,240.04
2332.6,251.496
3075.4,251.212
2509.6,222.52
3093.6,245.199
2460.6,250.729
3030.6,209.979
2463.4,210.934
2959.6,205.281
2369.2,208.608
3181.0,252.732
2516.6,234.783
2890.6,197.951
2287.6,246.721
2750.4,179.865
3156.8,131.658
3255.0,143.171
2816.8,154.843
3344.6,105.837
3636.6,144.116
2469.0,208.911
3596.8,135.683
2308.2,274.93
2994.8,255.551
2342.4,244.983
2483.6,172.346
2073.2,195.749
2781.6,227.691
2172.6,178.582
2889.0,222.117
2284.2,241.29
3277.4,339.279
2588.0,271.906
3134.4,269.92
2588.6,284.051
3065.6,208.966
2536.6,187.712
3145.0,216.414
2492.6,229.423
3208.8,234.644
2597.6,225.57
2990.4,194.556
2622.8,171.295
3018.6,143.558
2482.4,149.099
3216.2,196.606
2544.2,201.534
3140.0,202.634
2893.2,151.796
2933.6,102.303
2534.4,124.421
3258.2,164.73
2463.8,177.697
3150.8,203.329
2443.2,255.267
3106.0,240.86
2554.0,211.193
3054.6,212.341
2437.0,234.425
3149.0,235.163
2643.0,196.477
3534.0,315.129
3001.2,231.827
3888.6,299.15
3055.2,327.809
3834.6,326.05
2838.0,413.887
3439.0,323.41
2746.4,340.117
3053.0,235.993
2402.0,270.494
3042.8,243.04
2494.2,211.674
3078.8,232.986
2450.6,241.563
3174.6,244.567
2517.4,238.176
3041.0,228.242
2422.0,246.44
3338.8,316.028
2614.0,274.581
3354.0,306.635
2646.4,327.154
3095.8,234.004
2480.2,249.948
2736.2,170.629
2183.2,198.61
2828.2,204.511
2157.6,201.556
2716.8,201.437
3295.4,129.477
2169.6,165.045
3498.4,146.041
3592.4,153.006
2513.4,228.77
3829.0,155.64
3729.2,143.978
2529.0,230.786
3533.6,135.889
2234.8,216.55
2767.6,186.99
2278.8,170.178
2715.4,166.198
2184.0,176.223
2783.0,175.229
2202.0,174.372
2774.8,189.692
2198.2,195.802
3097.0,277.261
2433.0,238.927
3043.0,246.947
2339.8,293.019
2869.6,224.897
3262.8,156.477
2580.4,138.774
2367.6,172.669
