AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1292.6,0.01
1298.4,0.023
1290.4,0.017
1374.2,0.988
1311.2,0.954
1314.0,0.859
1316.6,0.844
1284.6,0.09
1301.0,0.019
1299.4,0.011
1300.8,0.008
1295.2,0.007
1291.0,0.0
1296.2,0.004
1293.8,0.003
1293.8,0.003
1293.6,0.003
1290.4,0.0
1444.0,3.557
1367.6,2.363
1366.8,2.375
1363.6,2.426
1346.4,0.525
1312.6,0.376
1310.2,0.389
1309.2,0.396
1278.8,0.0
1302.2,0.086
1318.6,0.109
1288.6,0.226
1308.6,0.15
1297.6,0.127
1291.4,0.073
1299.2,0.005
1293.8,0.005
1288.8,0.011
1307.6,0.072
1285.2,0.086
1258.6,0.247
1405.0,2.954
1343.2,1.944
1352.4,1.823
1828.8,26.95
1839.2,20.295
1761.6,18.128
1984.2,9.29
1908.4,4.387
1688.4,6.016
1880.0,3.919
1865.0,3.699
1688.8,4.524
1779.0,2.471
1440.0,14.242
1648.2,13.286
1513.2,10.972
1627.8,13.436
1541.4,10.508
1571.8,5.117
1498.4,5.592
1374.4,2.527
1531.0,2.594
1408.0,1.548
1332.0,3.113
1519.4,4.699
1333.0,3.895
1378.6,3.571
1557.0,4.521
1293.6,6.361
1520.2,6.755
1442.6,6.24
1469.0,5.487
1495.8,1.857
1296.8,4.594
1547.2,8.59
1404.4,6.164
1764.4,24.121
1972.0,11.586
1766.8,15.034
1949.0,7.618
1798.8,5.326
1483.0,8.473
1589.0,5.751
1602.0,5.311
1377.8,6.556
1598.4,4.706
1501.6,4.793
1619.0,7.768
1677.2,2.294
1439.2,9.64
1533.2,6.654
1579.2,6.896
1565.4,6.31
1566.0,2.655
1723.4,2.722
1706.8,2.406
1614.4,2.886
1737.0,1.301
1556.8,3.572
1378.0,6.028
1646.8,12.211
1478.2,8.097
1577.8,8.083
1523.6,7.713
1483.8,1.724
1363.6,3.664
1406.8,2.294
1483.0,2.195
1369.8,2.474
1477.4,1.159
1336.2,3.05
1338.4,1.294
1499.2,4.625
1293.8,5.743
1307.6,5.284
1421.4,5.974
1327.0,2.857
1530.2,5.106
1605.6,1.413
1517.8,2.499
1585.2,1.527
1454.6,1.678
1351.8,1.455
1667.0,13.566
1643.6,10.016
1521.8,12.502
1633.2,8.162
1588.2,3.54
1608.8,4.155
1573.0,2.11
1723.2,2.478
1475.0,8.938
1636.8,8.713
1439.2,11.98
1403.4,6.902
1557.6,6.121
1373.4,2.873
1610.2,4.492
1411.8,8.271
1376.0,5.595
1616.0,11.067
1568.6,8.941
1464.4,9.396
1625.0,5.966
1619.4,5.092
1469.2,4.356
1688.0,2.798
1584.4,3.103
1471.8,3.39
1719.6,7.017
1604.2,4.559
1422.2,11.492
1627.4,8.649
1401.0,5.487
1353.2,4.287
1551.0,3.93
1263.4,6.842
1450.2,6.699
1448.6,5.92
1481.6,6.416
1591.8,0.449
1532.0,0.786
1587.4,0.476
1450.4,1.955
1332.8,3.041
1453.8,3.707
1383.2,2.311
1493.4,3.445
1498.2,1.051
1563.0,1.413
1396.2,5.434
1444.0,3.135
1493.6,3.531
1259.0,5.515
1279.0,4.794
1363.8,5.214
1348.6,4.642
1517.6,4.262
1487.8,1.794
1569.8,1.632
1549.6,1.494
1565.8,1.454
1480.2,2.706
1498.0,1.423
1322.6,5.28
1340.4,2.184
1475.8,5.019
1468.8,4.535
1581.2,0.832
1586.2,0.371
1438.8,2.766
1513.0,1.98
1455.6,1.433
1488.6,1.797
1425.6,2.292
1286.8,4.084
1247.0,2.993
1312.0,3.589
1331.4,3.142
1414.4,1.616
1358.2,2.308
1417.8,1.521
1425.4,1.571
1514.6,3.696
1456.8,2.321
1507.2,1.678
1422.0,2.742
1477.6,2.402
1548.6,1.81
1530.6,1.592
1522.6,1.188
1505.0,0.678
1481.4,0.223
1330.2,2.499
1281.8,2.787
1360.8,3.121
1185.4,2.729
1328.2,3.376
1424.2,3.321
1297.4,3.138
1304.2,2.719
1267.8,1.961
1362.2,4.34
1220.0,4.287
1359.0,3.907
1436.8,3.872
1295.8,2.952
1438.8,1.255
1417.8,1.153
1436.4,1.305
1334.8,3.27
1403.4,2.151
1403.0,2.116
1449.6,3.158
1405.0,1.907
1459.0,1.362
1345.2,2.951
1508.2,6.87
1648.4,7.223
1486.0,8.497
1474.0,9.036
1573.2,7.532
1318.4,4.845
1399.2,4.272
1428.8,3.411
1490.8,4.468
1365.6,4.766
1530.8,5.344
1374.0,7.65
1379.2,4.428
1503.2,3.685
1354.8,2.487
1470.8,1.145
1415.6,1.471
1356.4,0.608
1499.4,2.143
1345.8,2.845
1476.6,3.253
1447.4,2.727
1564.2,5.846
1409.2,7.369
1571.4,7.428
1523.0,6.312
1725.2,15.731
1509.0,16.37
1745.8,16.402
1543.4,19.682
1677.8,17.97
1779.8,8.38
1505.4,11.767
1560.2,9.21
1559.6,4.904
1540.0,4.064
1555.6,1.626
1665.6,0.641
1457.2,5.594
1528.0,3.42
1334.8,7.536
1429.6,6.05
1591.4,7.228
1565.4,6.313
1528.8,4.717
1618.2,3.28
1381.2,5.537
1422.6,3.472
1390.8,3.301
1346.6,1.339
1573.6,4.944
1352.4,6.929
1599.8,8.865
1490.4,8.476
1547.4,7.526
1713.8,3.785
1556.2,3.69
1723.2,2.124
1494.4,7.957
1561.2,4.768
1520.8,4.421
1521.2,3.246
1643.6,0.933
1550.6,1.14
1701.0,1.957
1706.4,1.573
1593.4,2.821
1705.0,1.731
1640.4,1.151
1559.2,1.185
1626.4,0.652
1420.0,4.354
1362.0,3.0
1433.8,3.376
1272.4,2.02
1343.6,1.49
1399.6,1.454
1507.8,5.266
1588.8,2.455
1452.2,6.049
1495.4,4.417
1590.2,6.461
1591.4,6.277
1608.0,2.541
1751.2,1.498
1586.4,3.007
1638.8,2.263
1598.8,2.252
1623.0,1.732
1629.8,0.687
1388.0,8.048
1432.6,5.252
1359.0,3.016
1394.2,3.639
1456.6,0.473
1503.6,0.515
1546.8,0.163
1617.4,1.274
1734.8,2.343
1517.8,8.564
1598.4,5.763
1734.0,10.011
1792.2,12.961
1797.6,4.429
2002.2,3.241
2007.6,3.158
1777.8,7.357
1753.8,8.178
1654.2,4.58
1447.8,1.275
1421.8,1.15
1499.0,1.953
1516.2,2.328
1432.2,2.896
1510.4,1.816
1467.0,1.456
1475.8,1.263
1502.8,0.149
1502.2,0.148
1504.4,0.123
1556.8,0.698
1609.2,1.001
1555.2,1.097
1594.6,0.683
1552.0,0.702
1452.4,0.71
1452.6,0.594
1540.6,2.193
1572.0,2.367
1630.2,1.215
1763.6,0.831
2010.8,11.188
1742.0,14.706
1693.8,16.314
